record_id,company,job_title,location,work_model,role_family,recurring_keywords
"V001","dsm-firmenich","Executive Assistant Taste, Texture & Health","Delft, NL","Hybrid/Flexible","P1","executive support, ownership, confidentiality, stakeholder management, process improvement, international coordination"
"V002","MN","Executive Assistant Operations & IT / Co-CEO","The Hague, NL","Hybrid","P1","calendar management, board support, governance, executive communication, prioritization"
"V003","JPMorganChase","Executive Administrative Assistant","Amsterdam, NL","Hybrid","P1","executive administration, calendar, travel, expenses, confidentiality, teamwork"
"V004","Mollie","Executive Business Partner to CPO","Amsterdam, NL","Hybrid","P1","executive business partner, strategic support, leadership operations, priorities, cross-functional"
"V005","GloPros","Executive Assistant & Office Manager","Amsterdam, NL","Onsite/Hybrid","P1","executive support, office management, vendors, events, operations"
"V006","Egeria","Executive Assistant","Amsterdam, NL","Onsite/Hybrid","P1","calendar management, travel, meeting coordination, confidentiality, proactive support"
"V007","WPP Media","Executive Assistant","Amsterdam, NL","Hybrid","P1","executive support, calendar, travel, expenses, stakeholder communication"
"V008","Worldpay","EA / Office Manager","Amsterdam, NL","Hybrid","P1","executive support, office operations, facilities, vendors, events"
"V009","Odido Nederland","Executive Assistant","The Hague, NL","Hybrid","P1","executive support, decision support, action tracking, stakeholder management"
"V010","Percona","Executive Assistant to the CEO","Amsterdam / Europe","Remote","P1","remote executive support, CEO, calendar, travel, time zones, follow-through"
"V011","Remote Leverage","Executive Assistant","European Union","Remote","P1","calendar, inbox, reports, action tracking, documentation, process improvement"
"V012","Hire Feed","Executive Assistant (Remote)","European Union","Remote contract","P1","calendar, scheduling, travel, administrative support, remote"
"V013","Rayda","Vendor Operations Specialist","Europe","Remote","P2","vendor management, onboarding, procurement, operations, Europe"
"V014","EPI Company","Operational Excellence Analyst","NL/BE/FR","Remote","P2","operational excellence, KPI, reporting, audit, process improvement, service quality"
"V015","EPI Company","B2B Partner Operations Specialist","NL/Europe","Remote","P2","partner operations, B2B support, case management, operational data, process improvement"
"V016","The Doing Co","E-Commerce Operations Coordinator","Netherlands","Remote","P2","e-commerce operations, product data, listings, data quality, coordination"
"V017","Travel Group Luxembourg","Business Operations Coordinator","Europe","Remote","P2","business operations, coordination, reporting, stakeholders, remote"
"V018","HiCareer client","Marketplace Operations Manager","Amsterdam / Europe","Remote-first","P2","marketplace, logistics, cross-functional, process, data, ownership"
"V019","Remote","Manager, Business Operations EMEA","EMEA","Remote","P2","business operations, strategy, metrics, cross-functional, EMEA"
"V020","Scale Army Careers","Sales Operations Coordinator","LATAM/Eastern Europe","Remote","P2","sales operations, CRM, reporting, process, client support"
"V021","BuyGoods","Operations Coordinator","Eastern Europe","Remote","P2","operations coordination, ownership, autonomy, priorities, leadership"
"V022","Elevate Teams","Administrative Assistant","Remote","Remote","P2","administration, customer service, operations, CRM, efficiency"
"V023","Your Software Supplier","CRM Operations Specialist","Worldwide","Remote","P2","CRM operations, Salesforce, HubSpot, workflow, process improvement, AI"
"V024","20four7VA","Course Platform & Community Operations Specialist","Worldwide","Remote part-time","P2","community operations, course platform, documentation, marketing support"
"V025","Keyword Studios","Player Support Agent – Brazilian Portuguese/English","Remote","Remote","P2","Portuguese, English, customer support, problem solving, remote"
"V026","HireLATAM client","Executive Coordinator & Marketing Operations Assistant","LATAM","Remote part-time","P1","executive coordination, marketing operations, action tracking, remote"
"V027","UNOPS","Project Management Support Specialist","EMEA / multi-country","Remote/Location dependent","P3","programme support, reporting, governance, liaison, monitoring, multi-country"
"V028","UNOPS","Project Management Support Officer","EMEA","Remote/Location dependent","P3","project support, planning, monitoring, procurement, finance, logistics, reporting"
"V029","HiCareer client","Project Coordinator","European Union","Remote-first","P3","project coordination, timelines, deliverables, follow-through, communication"
"V030","HiCareer client","Project Coordinator – SaaS & Consulting","European Union","Remote-first","P3","SaaS implementation, project coordination, stakeholder communication, follow-through"
"V031","Hyqoo","Project Control Coordinator","European Union","Remote","P3","RAID, risk, issue management, scheduling, documentation, stakeholder management"
"V032","Saunders Scott","Project Coordinator – Cyber Technical Assessments","EMEA","Remote","P3","project coordination, communication, organisation, EMEA, technical assessment"
"V033","INDG / Grip","Project Coordinator","European Union","Remote","P3","project delivery, client coordination, scope, ownership, production workflow"
"V034","Salt client","Project Support Coordinator","EMEA / CET","Remote, 30h","P3","project support, coordinator, learning technology, remote-first, CET"
"V035","Persona via Joinrs","Assistant Project Manager","EMEA","Remote","P3","assistant project manager, process optimization, collaboration, remote"
"V036","IRU","Project Coordinator Consultant","Europe","Remote project-based","P3","EU-funded, donor-funded, multi-country, capacity building, project coordination"
"V037","LILT AI","Project Manager – Life Sciences Production","Europe","Remote contract","P3","multilingual, QA, SLA, budget, risk, client management"
"V038","Dolead","Marketing Operations Project Manager","Europe","Remote contract","P3","marketing operations, launches, campaigns, A/B testing, conversion"
"V039","Codekeeper","Project Manager – Software Escrow","Netherlands","Remote","P3","project management, research, planning, cross-functional, risk, software"
"V040","Tiens / VMOMENT","AI Operations & Project Manager","Europe","Remote","P3","AI adoption, implementation, training, requirements, operational performance"
